city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,2022-01-01,180,4.76,40,50,62,84,93,61,35
Delhi,2022-01-02,163,2.06,5,24,95,79,45,57,26
Delhi,2022-01-03,102,4.21,36,60,29,54,17,25,28
Delhi,2022-01-04,201,0.34,52,55,60,20,113,116,17
Delhi,2022-01-05,97,0.1,71,124,146,14,43,62,21
Delhi,2022-01-06,208,8.1,114,80,44,30,150,99,19
Delhi,2022-01-07,132,1.97,60,30,51,58,71,100,48
Delhi,2022-01-08,97,0.97,35,77,94,7,39,82,33
Delhi,2022-01-09,170,12.36,44,8,76,32,150,80,31
Delhi,2022-01-10,237,1.03,80,150,20,13,35,20,26
Delhi,2022-01-11,82,10.5,130,32,61,56,18,19,29
Delhi,2022-01-12,172,1.58,82,93,99,17,68,118,13
Delhi,2022-01-13,296,4.05,67,26,139,62,78,78,13
Delhi,2022-01-14,148,8.59,62,64,180,50,27,36,36
Delhi,2022-01-15,137,0.1,80,91,76,15,13,113,8
Delhi,2022-01-16,86,3.72,54,67,28,67,120,141,37
Delhi,2022-01-17,196,6.26,94,103,41,26,150,13,17
Delhi,2022-01-18,242,2.9,26,106,84,18,6,113,13
Delhi,2022-01-19,148,12.98,71,120,55,18,18,186,50
Delhi,2022-01-20,240,1.13,115,36,114,57,23,250,6
Delhi,2022-01-21,274,2.79,12,27,116,35,43,250,8
Delhi,2022-01-22,147,12.99,76,82,49,20,108,187,33
Delhi,2022-01-23,94,5.58,31,65,91,49,51,179,47
Delhi,2022-01-24,266,1.56,51,85,75,16,150,221,46
Delhi,2022-01-25,161,0.24,22,132,75,45,37,121,17
Delhi,2022-01-26,124,0.36,60,16,21,18,51,185,23
Delhi,2022-01-27,161,0.24,40,86,41,31,82,120,27
Delhi,2022-01-28,166,4.07,73,150,44,100,30,10,17
Delhi,2022-01-29,192,1.52,168,31,122,9,150,228,18
Delhi,2022-01-30,23,14.48,126,62,180,34,64,71,43
Delhi,2022-01-31,175,1.08,75,15,180,94,67,250,50
Delhi,2022-02-01,220,5.07,129,143,14,27,104,250,7
Delhi,2022-02-02,24,2.57,50,7,81,45,27,99,50
